MSOA21CD,MSOA21NM
E02001045,Manchester 001
E02001046,Manchester 002
E02001047,Manchester 003
E02001048,Manchester 004
E02001049,Manchester 005
E02001050,Manchester 006
E02001051,Manchester 007
E02001052,Manchester 008
E02001053,Manchester 009
E02001055,Manchester 011
E02001056,Manchester 012
E02001059,Manchester 015
E02001061,Manchester 017
E02001062,Manchester 018
E02001063,Manchester 019
E02001064,Manchester 020
E02001065,Manchester 021
E02001066,Manchester 022
E02001067,Manchester 023
E02001068,Manchester 024
E02001069,Manchester 025
E02001070,Manchester 026
E02001072,Manchester 028
E02001073,Manchester 029
E02001074,Manchester 030
E02001075,Manchester 031
E02001076,Manchester 032
E02001077,Manchester 033
E02001078,Manchester 034
E02001079,Manchester 035
E02001080,Manchester 036
E02001081,Manchester 037
E02001082,Manchester 038
E02001083,Manchester 039
E02001084,Manchester 040
E02001085,Manchester 041
E02001086,Manchester 042
E02001087,Manchester 043
E02001088,Manchester 044
E02001089,Manchester 045
E02001090,Manchester 046
E02001091,Manchester 047
E02001092,Manchester 048
E02001093,Manchester 049
E02001094,Manchester 050
E02001095,Manchester 051
E02001096,Manchester 052
E02001097,Manchester 053
E02006902,Manchester 054
E02006912,Manchester 055
E02006913,Manchester 056
E02006914,Manchester 057
E02006915,Manchester 058
E02006916,Manchester 059
E02006917,Manchester 060
E02006983,Manchester 061
E02006984,Manchester 062
E02006985,Manchester 063
E02006986,Manchester 064
E02001157,Salford 001
E02001158,Salford 002
E02001159,Salford 003
E02001160,Salford 004
E02001161,Salford 005
E02001162,Salford 006
E02001163,Salford 007
E02001164,Salford 008
E02001165,Salford 009
E02001166,Salford 010
E02001167,Salford 011
E02001168,Salford 012
E02001169,Salford 013
E02001170,Salford 014
E02001171,Salford 015
E02001173,Salford 017
E02001174,Salford 018
E02001175,Salford 019
E02001176,Salford 020
E02001177,Salford 021
E02001179,Salford 023
E02001180,Salford 024
E02001181,Salford 025
E02001182,Salford 026
E02001183,Salford 027
E02001185,Salford 029
E02001186,Salford 030
E02006957,Salford 031
E02006958,Salford 032
E02006959,Salford 033
E02006960,Salford 034
E02006961,Salford 035
E02006962,Salford 036
E02006963,Salford 037
E02001259,Trafford 001
E02001260,Trafford 002
E02001261,Trafford 003
E02001262,Trafford 004
E02001263,Trafford 005
E02001264,Trafford 006
E02001265,Trafford 007
E02001266,Trafford 008
E02001267,Trafford 009
E02001268,Trafford 010
E02001269,Trafford 011
E02001270,Trafford 012
E02001271,Trafford 013
E02001272,Trafford 014
E02001273,Trafford 015
E02001274,Trafford 016
E02001275,Trafford 017
E02001276,Trafford 018
E02001277,Trafford 019
E02001278,Trafford 020
E02001279,Trafford 021
E02001280,Trafford 022
E02001281,Trafford 023
E02001282,Trafford 024
E02001283,Trafford 025
E02001284,Trafford 026
E02001285,Trafford 027
E02001286,Trafford 028